Name,GK,CB,CM,ST,RW,LB
V. Ignatiev,10.6,58.0,70.0,70.0,73.0,63.0
Ryder,8.8,46.0,64.0,73.0,73.0,51.0
Zainadine,10.6,73.0,58.0,54.0,56.0,70.0
A. Traoré,11.2,52.0,68.0,71.0,74.0,57.0
Álex Martínez,13.4,68.0,66.0,62.0,66.0,73.0
M. Larrondo,9.8,46.0,64.0,73.0,68.0,45.0
A. Iwobi,11.6,43.0,68.0,68.0,73.0,50.0
C. Salcedo,8.0,73.0,57.0,48.0,50.0,67.0
M. Leitner,12.4,56.0,73.0,66.0,74.0,64.0
T. Baumgartl,13.8,73.0,61.0,51.0,50.0,66.0
J. Urretaviscaya,11.2,45.0,67.0,70.0,74.0,54.0
L. Melgarejo,10.4,67.0,69.0,73.0,74.0,70.0
Gonçalo Guedes,10.0,49.0,69.0,73.0,75.0,57.0
J. Ortiz,9.8,68.0,73.0,67.0,69.0,69.0
A. Plata,12.8,51.0,62.0,73.0,73.0,55.0
L. Ulloa,11.2,56.0,65.0,73.0,66.0,53.0
E. Room,72.6,,,,,
T. Usami,8.4,37.0,68.0,67.0,74.0,50.0
Fábio Espinho,11.8,62.0,73.0,70.0,73.0,66.0
Fábio Cardoso,11.2,73.0,55.0,52.0,50.0,67.0
Hélder Barbosa,13.0,52.0,66.0,70.0,74.0,57.0
S. Amrabat,12.0,62.0,73.0,64.0,70.0,66.0
R. Mora,11.2,45.0,66.0,73.0,73.0,50.0
R. Botta,9.0,43.0,69.0,66.0,74.0,52.0
A. Ndiaye Diedhiou,8.8,53.0,67.0,73.0,75.0,59.0
A. Adomah,1.0,51.0,68.0,69.0,73.0,58.0
Nélson Lenho,14.0,71.0,70.0,61.0,68.0,73.0
L. Mchedlidze,11.0,47.0,61.0,73.0,67.0,46.0
A. Soumaoro,10.8,73.0,53.0,51.0,49.0,67.0
S. Bergwijn,12.8,42.0,64.0,70.0,74.0,50.0
J. Forlín,8.8,73.0,61.0,54.0,55.0,70.0
L. Traoré,11.8,49.0,60.0,73.0,66.0,46.0
T. Kalas,7.8,73.0,61.0,59.0,60.0,70.0
Aitor Sanz,12.4,68.0,73.0,64.0,68.0,68.0
J. Fernandes,10.8,46.0,61.0,73.0,69.0,48.0
T. Touré,10.6,54.0,69.0,71.0,74.0,58.0
M. Langerak,70.0,,,,,
S. Johansen,10.6,65.0,73.0,69.0,72.0,68.0
Tiago Pinto,11.6,69.0,72.0,67.0,72.0,73.0
P. Gallese,71.6,,,,,
M. Mevlja,12.0,73.0,61.0,53.0,54.0,70.0
Kim Shin Wook,8.4,57.0,66.0,73.0,66.0,54.0
N. Taylor,13.4,72.0,67.0,56.0,63.0,73.0
U. Demirok,8.4,73.0,63.0,55.0,52.0,67.0
D. Stephens,11.4,72.0,73.0,67.0,68.0,71.0
T. Matlaba,12.4,65.0,71.0,69.0,73.0,73.0
Merino,11.4,71.0,74.0,69.0,69.0,69.0
Marc Roca,10.4,68.0,73.0,60.0,67.0,68.0
J. Rodwell,11.4,73.0,73.0,72.0,71.0,71.0
Mauro,10.6,73.0,69.0,60.0,64.0,70.0
D. Biseswar,11.2,42.0,67.0,69.0,74.0,50.0
Y. Al Shahrani,11.8,68.0,70.0,64.0,70.0,73.0
M. Škriniar,11.0,73.0,58.0,54.0,51.0,68.0
S. Privat,11.4,47.0,61.0,73.0,66.0,47.0
Júnior Caiçara,14.6,67.0,71.0,64.0,72.0,73.0
G. Sara,73.0,,,,,
A. Ríos,11.6,69.0,70.0,61.0,62.0,68.0
O. Tannane,8.6,49.0,67.0,73.0,74.0,54.0
R. Ribagaso,8.6,72.0,68.0,59.0,64.0,73.0
I. Armaş,10.6,73.0,54.0,47.0,42.0,65.0
F. Cacciatore,9.4,74.0,64.0,63.0,62.0,73.0
R. van Rhijn,10.8,71.0,67.0,66.0,67.0,73.0
F. Bastians,10.2,73.0,68.0,65.0,66.0,73.0
Victorino Magela,73.4,,,,,
J. Troisi,11.0,49.0,69.0,70.0,73.0,56.0
K. Kamara,10.4,47.0,61.0,73.0,70.0,50.0
M. Çağıran,9.2,72.0,75.0,72.0,72.0,71.0
K. Nababkin,11.4,73.0,66.0,63.0,65.0,73.0
G. Lo Celso,11.2,50.0,71.0,65.0,72.0,58.0
M. Diakhaby,12.2,73.0,50.0,46.0,41.0,63.0
F. Moubandje,11.8,75.0,68.0,63.0,65.0,73.0
G. Karadeniz,12.4,54.0,68.0,69.0,74.0,58.0
T. Al Jassam,12.6,72.0,72.0,70.0,70.0,71.0
M. Heller,12.6,42.0,62.0,70.0,74.0,53.0
V. Pajot,12.6,73.0,73.0,65.0,68.0,72.0
D. Bocanegra,10.8,72.0,67.0,63.0,65.0,73.0
W. Hahn,72.2,,,,,
Adrianiscito,73.6,,,,,
D. Stracqualursi,10.4,51.0,58.0,73.0,64.0,51.0
B. Castro,69.8,,,,,
J. Forrest,9.6,38.0,64.0,68.0,74.0,49.0
O. Onazi,11.2,69.0,73.0,67.0,71.0,73.0
T. Strakosha,73.2,,,,,
C. Söyüncü,6.8,73.0,57.0,56.0,54.0,68.0
K. Reichel,9.4,72.0,68.0,69.0,69.0,73.0
Bebé,9.6,47.0,66.0,73.0,74.0,52.0
M. Wagué,7.8,73.0,49.0,48.0,43.0,64.0
M. Galvarado,12.8,69.0,67.0,63.0,67.0,73.0
K. Tierney,12.4,68.0,66.0,58.0,65.0,73.0
N. Kebano,14.6,44.0,68.0,72.0,74.0,53.0
M. Salcatorini,11.4,45.0,68.0,66.0,71.0,53.0
Dentinho,12.4,56.0,69.0,71.0,74.0,60.0
L. Romagnoli,13.8,47.0,70.0,67.0,70.0,50.0
D. Croce,10.2,68.0,73.0,65.0,71.0,70.0
A. Jelverado,10.8,73.0,64.0,55.0,54.0,67.0
Mikel Rico,10.0,72.0,73.0,66.0,65.0,70.0
D. Stockdale,73.6,,,,,
José Ángel,12.8,70.0,66.0,62.0,66.0,73.0
V. Stoyanov,73.2,,,,,
P. Ketlun,12.0,73.0,58.0,54.0,48.0,62.0
K. Großkreutz,10.4,69.0,73.0,68.0,71.0,73.0
M. Demir,11.6,46.0,68.0,73.0,75.0,52.0
D. Lezcano,10.0,55.0,69.0,73.0,74.0,58.0
K. Panchenko,11.8,43.0,67.0,74.0,72.0,50.0
J. Puncheon,13.6,64.0,73.0,69.0,73.0,66.0
G. Cimirot,10.4,66.0,73.0,68.0,71.0,70.0
R. Morrison,12.4,51.0,69.0,67.0,72.0,55.0
K. Moncora,12.6,73.0,61.0,56.0,53.0,68.0
Padilhisco,10.4,68.0,66.0,64.0,69.0,73.0
L. Christodoulopoulos,9.8,59.0,71.0,72.0,74.0,64.0
R. Olsen,72.6,,,,,
L. Depoitre,10.0,54.0,66.0,73.0,64.0,51.0
A. Bedoya,9.4,66.0,73.0,69.0,70.0,69.0
J. Tarkowski,10.0,73.0,63.0,57.0,57.0,70.0
A. Romao,9.8,74.0,70.0,61.0,62.0,70.0
D. McCarty,9.2,70.0,70.0,62.0,64.0,71.0
S. Aziz,10.8,73.0,57.0,50.0,51.0,68.0
M. Sau,3.0,38.0,68.0,73.0,79.0,51.0
J. Schieber,11.0,47.0,59.0,73.0,67.0,47.0
M. Ødegaard,12.4,40.0,70.0,63.0,74.0,54.0
Fábio Sturgeon,13.0,51.0,67.0,71.0,73.0,56.0
Z. Kuzmanović,9.8,71.0,73.0,67.0,65.0,67.0
F. Jara,11.6,47.0,66.0,73.0,73.0,53.0
Gabrìel,72.0,,,,,
M. Oikonomou,3.0,73.0,53.0,46.0,45.0,65.0
Juanpe,10.2,73.0,58.0,50.0,47.0,66.0
A. Niane,9.4,40.0,56.0,73.0,67.0,41.0
D. Diekmeier,9.6,71.0,66.0,61.0,64.0,73.0
G. Burdisso,10.8,73.0,56.0,53.0,47.0,65.0
Rodrigo Ely,10.4,73.0,50.0,45.0,44.0,65.0
M. Benítez,10.4,45.0,69.0,71.0,74.0,56.0
R. Salin,71.2,,,,,
H. Balta,9.4,73.0,68.0,63.0,61.0,68.0
J. Herrera,73.4,,,,,
J. van Aken,9.4,73.0,62.0,53.0,54.0,68.0
G. Jourdren,72.6,,,,,
Y. Yazıcı,9.4,56.0,70.0,71.0,73.0,60.0
M. Velázquez,11.8,73.0,75.0,69.0,72.0,73.0
D. Marshall,72.0,,,,,
Jesus Andradaldo,13.6,73.0,68.0,61.0,66.0,73.0
P. Mpoku,9.8,56.0,70.0,72.0,74.0,60.0
M. Peñazco,10.6,71.0,73.0,65.0,70.0,72.0
A. Çamdalı,11.0,71.0,69.0,62.0,61.0,66.0
J. Ikoko,10.4,70.0,63.0,55.0,63.0,73.0
M. Dmitrović,74.6,,,,,
S. Aluko,10.0,45.0,67.0,68.0,74.0,56.0
P. Max,11.4,69.0,64.0,61.0,66.0,73.0
L. Quiñones,9.8,40.0,64.0,70.0,74.0,50.0
F. Uribe,11.4,47.0,61.0,73.0,68.0,50.0
G. Suleziano,12.6,72.0,72.0,68.0,68.0,71.0
J. Féret,12.2,59.0,73.0,69.0,70.0,61.0
Yeom Ki Hun,8.6,50.0,72.0,73.0,73.0,56.0
A. Cubas,10.4,69.0,69.0,56.0,63.0,72.0
E. Ünal,11.2,45.0,62.0,73.0,70.0,49.0
Léo Matos,11.0,71.0,71.0,72.0,73.0,73.0
I. Obradović,10.0,70.0,70.0,65.0,69.0,73.0
F. Kainz,11.2,42.0,66.0,67.0,74.0,52.0
J. Lascelles,11.4,73.0,53.0,47.0,48.0,67.0
B. Białkowski,72.2,,,,,
J. Guerredero,10.4,71.0,73.0,67.0,70.0,73.0
Oier,6.8,73.0,71.0,68.0,69.0,72.0
I. Novoseltsev,10.4,73.0,59.0,49.0,51.0,70.0
A. Koné,8.4,49.0,64.0,73.0,71.0,52.0
M. Díaz,10.2,50.0,68.0,69.0,72.0,55.0
P. Sisto,10.4,57.0,68.0,71.0,74.0,62.0
A. Selikhov,74.0,,,,,
M. Jensen,12.2,68.0,73.0,71.0,73.0,70.0
Feng Xiaoting,12.2,73.0,68.0,58.0,60.0,70.0
J. Fuenzalida,11.6,68.0,72.0,70.0,74.0,72.0
M. Leye,11.8,51.0,68.0,73.0,72.0,55.0
Lee Jae Sung,10.0,61.0,73.0,68.0,71.0,64.0
G. Whelan,13.2,73.0,69.0,64.0,64.0,69.0
Y. Jouffre,11.0,51.0,71.0,68.0,72.0,58.0
O. Colley,9.8,73.0,56.0,50.0,49.0,69.0
A. Desenda,11.8,51.0,67.0,68.0,74.0,58.0
Y. Gouffran,11.2,59.0,70.0,74.0,73.0,61.0
Juan Villar,7.6,48.0,65.0,72.0,74.0,54.0
K. Waston,10.8,73.0,53.0,49.0,43.0,61.0
M. Jedinák,13.0,75.0,67.0,65.0,60.0,69.0
J. Méndez,11.0,68.0,73.0,69.0,70.0,68.0
R. Cohade,12.4,68.0,75.0,69.0,71.0,67.0
L. Pocrnjic,71.4,,,,,
S. Uçan,9.6,67.0,73.0,72.0,73.0,69.0
Bobô,11.2,44.0,62.0,73.0,70.0,48.0
J. Meram,9.6,64.0,70.0,71.0,74.0,67.0
N. Stanciu,11.2,49.0,69.0,70.0,72.0,54.0
G. Gutierrez,10.0,46.0,70.0,67.0,73.0,55.0
E. Gülüm,11.8,73.0,60.0,57.0,54.0,67.0
F. Grillitsch,10.6,62.0,73.0,66.0,70.0,65.0
Deivid,13.6,73.0,67.0,57.0,60.0,71.0
V. Albarado,8.8,51.0,71.0,70.0,73.0,55.0
M. Peybernès,9.6,73.0,57.0,48.0,47.0,67.0
D. González,12.4,73.0,73.0,69.0,69.0,73.0
D. Luckassen,8.2,73.0,69.0,66.0,65.0,71.0
F. Peluso,5.6,76.0,60.0,60.0,58.0,73.0
L. Pionnier,74.4,,,,,
R. Cota,72.6,,,,,
P. Lasne,7.2,71.0,74.0,72.0,72.0,72.0
M. Samassa,73.0,,,,,
A. Rebrov,72.2,,,,,
M. Simon,10.8,43.0,64.0,72.0,75.0,53.0
Bruno Gama,11.2,50.0,69.0,68.0,73.0,57.0
Fidel,11.8,44.0,65.0,70.0,74.0,53.0
A. Yusupov,11.8,69.0,73.0,65.0,69.0,72.0
Ricardo Esgaio,10.6,70.0,71.0,65.0,71.0,73.0
Édundo Oliveira,10.0,73.0,59.0,53.0,51.0,66.0
F. Ricca,9.6,72.0,60.0,53.0,57.0,73.0
David Simón,10.6,70.0,66.0,61.0,66.0,73.0
H. Milić,9.6,70.0,68.0,63.0,68.0,73.0
A. Rusnák,10.6,43.0,68.0,66.0,72.0,53.0
D. Ndong,12.2,74.0,73.0,67.0,67.0,71.0
Ricardo,11.0,73.0,54.0,51.0,47.0,63.0
Djalma,10.2,53.0,68.0,71.0,73.0,58.0
A. Ragusa,11.2,47.0,67.0,71.0,74.0,55.0
Y. Mollo,10.4,48.0,66.0,71.0,74.0,53.0
M. Dawson,9.6,73.0,54.0,47.0,37.0,60.0
Tozé,14.2,46.0,69.0,66.0,72.0,56.0
D. Padelli,72.2,,,,,
M. Richards,12.4,73.0,57.0,59.0,59.0,66.0
D. Tošić,11.0,73.0,65.0,58.0,57.0,68.0
T. Serero,11.4,61.0,73.0,61.0,70.0,68.0
Pere Pons,10.2,71.0,73.0,63.0,67.0,72.0
T. Sparv,11.4,71.0,69.0,61.0,60.0,69.0
J. Hogg,10.4,71.0,69.0,64.0,65.0,72.0
V. Manceau,12.6,74.0,70.0,59.0,64.0,73.0
A. Djiku,9.6,73.0,63.0,58.0,63.0,73.0
Sergio Sánchez,11.2,73.0,63.0,61.0,59.0,71.0
Medrán,12.4,63.0,73.0,68.0,70.0,65.0
K. Molino,8.6,54.0,68.0,72.0,73.0,59.0
Enaldo Toxeto,10.4,73.0,63.0,61.0,59.0,71.0
Y. Cahuzac,13.6,72.0,68.0,57.0,59.0,68.0
Elustondo,12.4,73.0,70.0,64.0,64.0,69.0
J. Schmid,9.4,65.0,71.0,71.0,73.0,68.0
Moi Gómez,9.8,51.0,71.0,68.0,73.0,59.0
C. Samba,9.8,73.0,53.0,56.0,45.0,59.0
Edmilson Junior,11.8,52.0,67.0,67.0,72.0,59.0
S. Wuytens,12.8,70.0,72.0,64.0,65.0,70.0
M. Mohammadi,10.8,67.0,66.0,63.0,69.0,72.0
Laure,9.8,69.0,63.0,58.0,62.0,72.0
D. Ousted,70.6,,,,,
T. Ndoro,10.6,38.0,56.0,72.0,66.0,41.0
J. Zmrhal,11.6,57.0,69.0,70.0,71.0,63.0
H. Lansbury,13.8,64.0,72.0,67.0,69.0,65.0
D. Yurchenko,70.6,,,,,
Wu Lei,11.4,43.0,65.0,72.0,73.0,53.0
Gabriel Boschilia,9.6,48.0,68.0,65.0,71.0,56.0
J. Stanislas,8.0,43.0,68.0,67.0,72.0,55.0
Richarlison,10.2,43.0,63.0,74.0,74.0,49.0
M. Wilson,9.8,72.0,67.0,62.0,62.0,70.0
S. Palitsevich,9.8,72.0,57.0,49.0,48.0,66.0
O. Assaidi,9.2,41.0,66.0,67.0,74.0,52.0
J. Maclaren,10.8,53.0,64.0,72.0,71.0,57.0
G. Letizia,11.2,68.0,63.0,57.0,64.0,72.0
G. Friend,11.4,72.0,66.0,65.0,66.0,72.0
D. Pérez,13.0,68.0,64.0,63.0,66.0,72.0
M. Pasqual,7.4,69.0,72.0,64.0,69.0,72.0
M. Morishige,12.4,72.0,65.0,62.0,59.0,68.0
I. Mboyo,12.2,52.0,67.0,72.0,72.0,54.0
S. Holmén,9.4,70.0,72.0,69.0,70.0,71.0
Brenito Duarte,11.2,72.0,60.0,55.0,54.0,68.0
Carlos Ponck,11.0,72.0,58.0,55.0,54.0,67.0
O. Ustari,73.6,,,,,
P. Kasami,8.6,66.0,72.0,70.0,69.0,67.0
L. Pasciuti,8.0,56.0,66.0,63.0,70.0,65.0
Nano,11.2,42.0,61.0,72.0,72.0,49.0
Braga,11.4,56.0,72.0,71.0,72.0,60.0
M. Miazga,10.6,72.0,55.0,47.0,48.0,65.0
De las Cuevas,10.8,56.0,72.0,67.0,73.0,61.0
K. Havertz,9.4,49.0,68.0,67.0,71.0,55.0
S. Rybalka,10.2,65.0,72.0,60.0,65.0,66.0
G. Makaridze,69.8,,,,,
Johnathan,12.0,48.0,64.0,72.0,71.0,53.0
B. Kayal,9.8,70.0,72.0,66.0,68.0,70.0
Kim Bo Kyung,12.6,62.0,72.0,68.0,72.0,67.0
M. Gregoritsch,9.4,51.0,68.0,72.0,71.0,55.0
M. Michel,71.8,,,,,
A. Di Gaudio,6.6,35.0,63.0,64.0,72.0,51.0
A. Johansson,11.6,72.0,66.0,57.0,55.0,65.0
N. Acevedo,10.4,72.0,70.0,63.0,64.0,70.0
K. Ansarifard,11.6,52.0,62.0,72.0,70.0,57.0
D. Bessa,11.6,50.0,72.0,69.0,73.0,58.0
C. Carbonero,11.2,50.0,72.0,69.0,73.0,56.0
Naranjo,11.6,40.0,63.0,72.0,73.0,46.0
J. Lucero,10.6,44.0,61.0,72.0,70.0,48.0
D. Calabria,11.2,70.0,63.0,56.0,63.0,72.0
Douglas,10.0,72.0,57.0,57.0,51.0,62.0
S. Vergini,8.0,72.0,64.0,54.0,56.0,67.0
Cifuentes,9.2,67.0,63.0,63.0,66.0,72.0
M. Nakamba,11.4,73.0,66.0,61.0,61.0,70.0
K. Nakamura,11.8,65.0,73.0,70.0,70.0,67.0
M. Rocora,71.0,,,,,
O. Rybka,72.0,,,,,
M. Vejinović,12.2,64.0,72.0,66.0,67.0,65.0
M. Al Sahlawi,9.6,41.0,62.0,72.0,69.0,46.0
F. Ceccherini,10.2,72.0,47.0,40.0,40.0,64.0
Pietrson Mendes,10.6,53.0,68.0,69.0,73.0,62.0
H. Donadell,72.2,,,,,
V. Nogueira,11.2,61.0,72.0,65.0,70.0,67.0
L. Siligardi,11.2,40.0,66.0,69.0,73.0,51.0
K. Laifis,11.8,72.0,70.0,67.0,66.0,70.0
D. Appiah,10.0,71.0,62.0,54.0,59.0,72.0
R. Gauld,12.2,45.0,67.0,66.0,73.0,56.0
Rafael Martins,12.0,45.0,59.0,72.0,68.0,46.0
C. Löwe,10.8,69.0,68.0,64.0,68.0,72.0
J. Furch,10.8,50.0,63.0,72.0,65.0,49.0
R. Pasveer,70.4,,,,,
S. Siani,9.0,70.0,72.0,69.0,69.0,70.0
F. Tabanou,11.8,71.0,70.0,69.0,70.0,72.0
F. Silva,10.2,69.0,72.0,62.0,63.0,68.0
S. Gümüş,10.8,46.0,65.0,73.0,74.0,52.0
S. Muwashar,9.0,44.0,64.0,68.0,73.0,54.0
Jaim Abra,72.6,,,,,
N. Bendtner,10.4,51.0,65.0,72.0,69.0,51.0
J. Delaplace,9.0,66.0,72.0,61.0,67.0,69.0
Lucas Piazon,9.8,45.0,68.0,69.0,73.0,55.0
Miguel Flaño,8.4,72.0,57.0,55.0,52.0,65.0
Fábio Pacheco,11.6,72.0,66.0,60.0,61.0,69.0
P. McShane,11.8,72.0,59.0,51.0,50.0,67.0
L. Castaignos,13.6,46.0,65.0,72.0,69.0,48.0
M. Uribe,13.2,70.0,72.0,69.0,71.0,72.0
Freder Cabral,72.2,,,,,
Mateus,9.0,50.0,66.0,71.0,72.0,56.0
Idris,11.2,74.0,66.0,61.0,59.0,69.0
D. Barreto,71.2,,,,,
A. Touré,10.4,71.0,65.0,63.0,66.0,72.0
T. Lees,13.0,72.0,61.0,53.0,56.0,69.0
Rodrigo Galo,11.6,68.0,67.0,63.0,67.0,72.0
E. Krafth,11.4,71.0,65.0,61.0,64.0,72.0
J. Correa,8.8,44.0,68.0,69.0,73.0,52.0
Diego González,8.4,72.0,56.0,49.0,52.0,69.0
R. Jack,11.2,70.0,69.0,61.0,64.0,71.0
Héldon,10.4,41.0,64.0,70.0,73.0,52.0
L. Jara,10.0,70.0,70.0,64.0,69.0,72.0
G. Fernández,11.0,46.0,66.0,69.0,70.0,50.0
J. Hayes,10.6,50.0,66.0,63.0,71.0,59.0
F. Kudryashov,11.6,72.0,64.0,57.0,62.0,72.0
Dodô,11.0,65.0,70.0,66.0,71.0,69.0
S. Zoller,11.6,41.0,63.0,72.0,72.0,49.0
I. Kutepov,11.8,72.0,61.0,53.0,45.0,64.0
Hermoso,8.8,71.0,61.0,58.0,62.0,72.0
R. Noir,9.2,54.0,68.0,71.0,73.0,62.0
M. Bolaños,10.8,42.0,65.0,69.0,72.0,50.0
J. Pelupessy,11.8,69.0,68.0,58.0,62.0,68.0
R. Dartés,11.6,64.0,71.0,69.0,74.0,72.0
J. St. Juste,11.8,72.0,65.0,63.0,63.0,69.0
Elias Fontoira,9.8,70.0,74.0,70.0,72.0,71.0
L. Crisetig,4.0,68.0,72.0,62.0,64.0,67.0
A. Kruiswijk,7.8,72.0,59.0,50.0,49.0,67.0
R. Benzar,7.6,69.0,66.0,61.0,64.0,72.0
A. Pritchard,11.6,46.0,68.0,66.0,72.0,55.0
R. Philippoteaux,11.0,50.0,68.0,68.0,73.0,59.0
B. Assombalonga,8.4,52.0,61.0,72.0,69.0,55.0
S. Pocognoli,11.0,71.0,67.0,66.0,68.0,72.0
C. Moritz,12.0,69.0,72.0,65.0,68.0,71.0
M. Urruti,10.6,60.0,66.0,72.0,69.0,60.0
D. Ciofani,11.0,43.0,51.0,72.0,60.0,41.0
W. Katsande,9.8,72.0,68.0,65.0,65.0,71.0
L. Ayling,9.6,71.0,66.0,61.0,64.0,72.0
M. Caire,9.6,71.0,62.0,58.0,62.0,72.0
K. Saief,10.8,57.0,69.0,68.0,72.0,63.0
G. Cunningham,11.8,71.0,66.0,63.0,66.0,72.0
Marcos Paneira,9.4,72.0,69.0,61.0,63.0,69.0
M. Lustig,10.0,74.0,67.0,61.0,62.0,72.0
K. Bartley,9.4,72.0,54.0,47.0,46.0,65.0
A. Rudņevs,12.2,48.0,58.0,72.0,65.0,49.0
G. Alcoba,13.2,72.0,52.0,51.0,50.0,67.0
K. Monnet-Paquet,9.4,60.0,68.0,71.0,73.0,65.0
R. Yabo,14.2,67.0,73.0,66.0,70.0,70.0
C. Njie,10.4,45.0,65.0,72.0,74.0,54.0
E. Kalinski,10.0,71.0,72.0,64.0,67.0,70.0
Koo Ja Ryong,12.0,72.0,53.0,46.0,46.0,66.0
N. Sánchez,10.6,72.0,56.0,48.0,50.0,66.0
V. Forren,10.0,72.0,61.0,57.0,52.0,64.0
M. Bianchetti,7.4,72.0,49.0,47.0,42.0,64.0
F. Diedhiou,11.0,42.0,53.0,72.0,62.0,40.0
F. Novák,10.0,69.0,69.0,67.0,70.0,72.0
Lucas Lima,12.0,68.0,70.0,62.0,68.0,72.0
Somália,8.8,69.0,70.0,68.0,71.0,72.0
M. Santos,10.2,48.0,63.0,72.0,70.0,51.0
S. Ascacibar,8.8,72.0,66.0,54.0,59.0,73.0
F. Rønnow,71.4,,,,,
A. Fransson,9.8,68.0,72.0,65.0,67.0,70.0
Muriel,72.0,,,,,
A. Uchida,14.0,69.0,70.0,62.0,68.0,72.0
F. Di Francesco,8.4,40.0,67.0,66.0,73.0,51.0
Juli Piresinho,8.2,75.0,59.0,58.0,59.0,72.0
Susaeta,12.0,49.0,70.0,67.0,71.0,57.0
Fausto Tienza,12.0,70.0,72.0,64.0,66.0,69.0
Vinicius Cardenha,11.8,71.0,61.0,59.0,63.0,72.0
C. Gardner,12.0,72.0,72.0,70.0,68.0,70.0
Osmar,11.4,72.0,66.0,59.0,57.0,68.0
Y. Nagatomo,12.2,69.0,61.0,59.0,65.0,72.0
O. Sorg,9.8,71.0,67.0,62.0,65.0,72.0
L. Vácha,6.6,72.0,70.0,68.0,70.0,72.0
V. Belec,70.8,,,,,
H. Gombez,15.4,72.0,49.0,45.0,43.0,68.0
G. Dorrans,8.2,64.0,72.0,69.0,70.0,67.0
Alberto,71.6,,,,,
J. Obi,12.4,70.0,72.0,68.0,72.0,71.0
C. Hourihane,10.2,67.0,72.0,66.0,69.0,69.0
B. Kuwas,11.6,39.0,65.0,69.0,73.0,47.0
S. Elana,71.0,,,,,
E. Benítez,11.4,46.0,65.0,73.0,73.0,52.0
K. Coulibaly,11.0,45.0,60.0,72.0,67.0,48.0
L. Trossard,9.4,36.0,65.0,70.0,73.0,47.0
A. Tuanzebe,8.6,72.0,61.0,54.0,56.0,68.0
B. Myhill,72.4,,,,,
M. Rovero,9.0,72.0,55.0,54.0,46.0,62.0
Wellington Sabrão,10.0,72.0,56.0,54.0,50.0,65.0
Jason,10.8,44.0,64.0,72.0,74.0,51.0
E. Sviatchenko,12.6,72.0,63.0,60.0,57.0,67.0
A. Rojas,9.4,66.0,72.0,71.0,71.0,67.0
C. Buchtmann,10.4,61.0,72.0,64.0,70.0,66.0
Joselu,11.0,57.0,61.0,72.0,66.0,58.0
J. Perbet,9.4,40.0,56.0,72.0,63.0,41.0
V. Bystrov,12.4,60.0,66.0,70.0,73.0,64.0
S. Pellissier,8.4,41.0,64.0,72.0,69.0,45.0
G. Fabianos,9.8,72.0,60.0,56.0,58.0,69.0
K. Amian Adou,10.8,73.0,65.0,59.0,63.0,72.0
T. Sippel,72.2,,,,,
G. Fernández,9.2,62.0,72.0,68.0,73.0,68.0
M. Kanazaki,12.0,48.0,66.0,72.0,72.0,52.0
Castro,11.2,66.0,72.0,70.0,71.0,67.0
L. Fuentes,8.8,71.0,69.0,65.0,67.0,72.0
Lee Jae Sung,14.6,72.0,56.0,53.0,48.0,64.0
A. Ring,8.0,70.0,70.0,65.0,68.0,72.0
A. Isaksson,70.4,,,,,
Osvaldo Lodeiro,9.6,72.0,57.0,57.0,54.0,66.0
N. Douchez,73.0,,,,,
E. Muñoz,10.4,72.0,50.0,45.0,41.0,64.0
C. Molinaro,9.6,72.0,65.0,61.0,64.0,72.0
Orlando Sá,10.6,48.0,62.0,72.0,67.0,48.0
O. Martínez,9.4,63.0,72.0,69.0,70.0,65.0
Guitián,11.6,72.0,63.0,57.0,56.0,67.0
H. Kekana,9.0,71.0,71.0,68.0,67.0,70.0
D. Senderón,11.2,72.0,60.0,55.0,54.0,68.0
Fabiano Sonta,9.4,72.0,58.0,52.0,49.0,63.0
M. Coutadeur,8.6,64.0,72.0,69.0,69.0,63.0
F. Díaz,10.8,70.0,66.0,62.0,65.0,72.0
R. McCormack,9.6,44.0,66.0,72.0,73.0,48.0
R. Danzé,9.4,72.0,70.0,65.0,67.0,72.0
Clerc,11.2,66.0,66.0,63.0,68.0,71.0
F. Dionisi,8.4,44.0,58.0,72.0,67.0,48.0
S. Perica,12.6,44.0,56.0,72.0,65.0,45.0
Luís Aurélio,11.4,63.0,70.0,71.0,71.0,67.0
J. Djourou,13.0,72.0,49.0,50.0,44.0,64.0
Rubén García,12.0,48.0,66.0,68.0,73.0,55.0
Ailton Valpaços,9.8,72.0,65.0,63.0,60.0,68.0
Park Joo Ho,11.6,70.0,69.0,58.0,65.0,72.0
S. Petrov,11.8,73.0,69.0,68.0,67.0,72.0
R. Donk,11.6,72.0,72.0,68.0,66.0,69.0
W. Janssen,10.8,72.0,71.0,67.0,66.0,69.0
D. Florada,10.6,53.0,68.0,69.0,73.0,62.0
A. Lazaar,10.6,69.0,69.0,65.0,69.0,72.0
M. Fritzler,10.2,72.0,67.0,57.0,57.0,67.0
D. Montenegro,11.4,45.0,70.0,68.0,70.0,49.0
B. Bereszyński,11.0,69.0,68.0,66.0,69.0,72.0
O. Nyland,73.8,,,,,
U. Spajić,11.4,72.0,58.0,56.0,56.0,67.0
R. Keogh,12.6,72.0,62.0,54.0,55.0,68.0
S. García,11.8,74.0,66.0,64.0,63.0,72.0
Toché,11.2,50.0,61.0,72.0,65.0,49.0
J. Fabbro,9.6,48.0,68.0,72.0,72.0,51.0
D. Tiendalli,8.4,71.0,65.0,60.0,65.0,72.0
J. Pereira,12.6,72.0,56.0,51.0,50.0,66.0
